[11, -1, -3, -3, -3, 0, -2, -3, 1, 3, 3, 4, 2, 4, 3]
[0, -2, -1, -2, -1, -1, -2, 0, 9, 7, 9, 8, 8, 9, 9]
[0, -3, -1, -3, -1, -2, -3, -3, 15, 14, 15, 14, 15, 15, 13]
[5, -1, -1, 0, 1, 0, 0, -1, 7, -1, -2, -2, -2, -2, -1]
[6, 0, -1, -1, -1, -1, 0, -1, 4, -1, -1, -1, 1, -2, -1]
[17, -1, -2, -2, -3, -4, -3, -2, 2, 1, -2, 1, -3, 2, -1]
[7, -2, 1, 0, 0, -1, 0, 1, -4, -3, -2, 12, -2, -4, -3]
[7, 0, -1, 0, -1, -1, -1, -1, -3, 0, 1, -2, 1, 1, 0]
[9, 2, 2, 2, 2, 2, 2, 3, -10, 39, -10, -11, -10, -11, -11]
[11, -2, -2, -1, -2, -1, -2, 2, -1, 2, -1, 2, -3, -1, -1]
[8, 2, 2, 3, 1, 1, 1, 1, -8, -9, 32, -8, -8, -9, -9]
[1, 0, 0, 0, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, 4]
[18, -1, -3, -1, -3, -1, -3, -3, 2, -2, -6, -4, 13, -4, -2]
[8, 0, 2, 1, 3, 1, 0, 2, -8, -7, -8, -8, -7, 28, -7]
